session_duration_minutes,documents_viewed,documents_downloaded,documents_uploaded,verification_actions,failed_actions,rapid_actions,username,user_role,unusual_activity
24,3,0,0,1,1,False,student2@example.com,Student,False
16,2,0,3,2,1,False,student2@example.com,Student,False
23,2,1,1,2,0,False,student2@example.com,Student,False
7,34,11,2,16,1,True,student2@example.com,Student,True
8,3,1,0,0,1,False,student2@example.com,Student,False
8,2,0,2,0,0,False,student2@example.com,Student,False
43,5,2,1,3,1,False,student2@example.com,Student,False
42,4,1,0,0,0,False,student2@example.com,Student,False
10,2,0,1,0,0,True,student2@example.com,Student,False
43,4,1,0,1,1,False,student2@example.com,Student,False
34,1,2,1,2,0,False,student2@example.com,Student,False
14,3,0,0,0,0,False,student2@example.com,Student,False
41,3,1,0,3,1,False,student2@example.com,Student,False
37,5,1,3,0,0,False,student2@example.com,Student,False
43,3,0,0,1,0,False,student2@example.com,Student,False
22,5,0,1,3,1,False,student2@example.com,Student,False
42,4,2,3,0,6,False,student2@example.com,Student,True
26,4,2,3,2,1,False,student2@example.com,Student,False
34,1,1,2,2,0,False,student2@example.com,Student,False
37,1,2,3,3,0,False,student2@example.com,Student,False
36,4,0,1,2,0,False,student2@example.com,Student,False
36,1,0,1,1,1,False,student2@example.com,Student,False
10,2,0,3,0,0,False,student3@example.com,Student,False
37,3,1,3,3,0,False,student3@example.com,Student,False
17,15,2,1,7,1,True,student3@example.com,Student,True
23,3,2,3,1,1,False,student3@example.com,Student,False
40,5,1,3,2,0,False,student3@example.com,Student,False
29,2,1,0,2,1,False,student3@example.com,Student,False
29,2,1,0,1,1,False,student3@example.com,Student,False
33,1,2,3,0,0,False,student3@example.com,Student,False
14,1,1,2,2,1,False,student3@example.com,Student,False
39,4,1,3,0,0,False,student3@example.com,Student,False
23,2,2,0,3,0,False,student3@example.com,Student,False
11,4,0,2,0,0,False,student3@example.com,Student,False
138,3,1,1,1,1,True,student3@example.com,Student,True
29,5,2,1,3,0,False,student3@example.com,Student,False
34,3,2,0,3,1,False,student3@example.com,Student,False
33,3,2,2,3,5,False,student3@example.com,Student,True
11,2,1,2,2,1,True,student3@example.com,Student,False
30,3,0,0,3,1,False,student3@example.com,Student,False
27,2,2,1,2,0,False,student3@example.com,Student,False
7,3,1,0,2,0,True,student3@example.com,Student,False
31,2,0,1,2,1,False,student3@example.com,Student,False
35,3,2,2,0,1,False,student3@example.com,Student,False
71,23,2,2,0,4,True,student3@example.com,Student,True
42,4,2,2,0,0,False,student3@example.com,Student,False
40,3,2,1,0,1,False,student3@example.com,Student,False
31,1,0,0,0,1,False,student3@example.com,Student,False
91,14,0,3,3,5,True,student3@example.com,Student,True
44,4,1,0,2,0,False,student3@example.com,Student,False
28,1,2,2,2,0,False,student3@example.com,Student,False
118,4,0,1,0,0,False,student3@example.com,Student,True
40,2,2,1,1,1,False,student3@example.com,Student,False
43,1,1,1,1,1,False,student3@example.com,Student,False
6,2,0,2,1,4,True,student3@example.com,Student,True
12,1,1,3,2,0,False,student3@example.com,Student,False
44,1,2,2,3,0,True,student3@example.com,Student,False
30,4,2,0,3,1,True,student3@example.com,Student,False
121,16,0,1,2,5,True,student3@example.com,Student,True
12,5,2,1,3,1,False,student3@example.com,Student,False
34,4,1,0,2,1,False,student3@example.com,Student,False
14,4,0,0,0,0,False,student3@example.com,Student,False
28,2,2,0,2,0,False,student3@example.com,Student,False
32,1,1,2,2,0,False,student3@example.com,Student,False
35,2,0,2,2,0,False,student3@example.com,Student,False
32,5,2,0,2,0,False,student3@example.com,Student,False
24,3,1,0,1,0,False,student3@example.com,Student,False
14,1,0,1,3,1,False,student3@example.com,Student,False
72,10,2,0,0,3,True,student3@example.com,Student,True
43,4,1,2,1,0,False,student3@example.com,Student,False
90,9,2,2,0,2,True,student3@example.com,Student,True
13,3,1,2,0,0,False,student3@example.com,Student,False
31,17,8,13,9,2,False,agent1@example.com,Agent,False
60,7,6,15,3,1,True,agent1@example.com,Agent,False
55,23,6,11,14,2,False,agent1@example.com,Agent,False
66,5,5,4,16,2,False,agent1@example.com,Agent,False
28,12,6,11,14,7,True,agent1@example.com,Agent,True
24,21,10,3,18,2,False,agent1@example.com,Agent,False
59,28,10,15,6,0,False,agent1@example.com,Agent,False
37,24,2,14,4,0,False,agent1@example.com,Agent,False
74,29,9,14,20,1,False,agent1@example.com,Agent,False
97,25,9,7,12,0,False,agent1@example.com,Agent,False
95,14,4,11,3,1,False,agent1@example.com,Agent,False
72,6,0,7,11,0,False,agent1@example.com,Agent,False
26,24,9,10,14,1,False,agent1@example.com,Agent,False
109,6,7,14,20,2,False,agent1@example.com,Agent,False
79,9,0,9,5,1,False,agent1@example.com,Agent,False
152,26,0,5,16,4,False,agent1@example.com,Agent,True
114,15,10,11,3,2,False,agent1@example.com,Agent,False
127,31,10,8,11,4,True,agent1@example.com,Agent,True
59,14,10,13,14,0,False,agent1@example.com,Agent,False
54,22,6,12,12,0,False,agent1@example.com,Agent,False
109,26,8,3,15,2,False,agent1@example.com,Agent,False
38,11,5,14,17,0,False,agent1@example.com,Agent,False
24,39,15,10,29,2,False,agent1@example.com,Agent,True
38,37,9,14,13,2,True,agent1@example.com,Agent,True
93,14,7,5,19,0,False,agent1@example.com,Agent,False
75,11,5,12,20,1,False,agent1@example.com,Agent,False
63,21,8,8,7,0,False,agent1@example.com,Agent,False
146,14,10,9,13,5,True,agent1@example.com,Agent,True
219,21,2,15,15,0,False,agent1@example.com,Agent,True
68,6,6,10,13,0,False,agent1@example.com,Agent,False
43,5,5,3,12,6,False,agent1@example.com,Agent,True
214,20,7,11,2,0,False,agent1@example.com,Agent,True
82,18,1,14,11,0,False,agent1@example.com,Agent,False
68,39,9,9,7,0,True,agent1@example.com,Agent,True
88,12,2,6,15,0,False,agent1@example.com,Agent,False
68,10,10,12,4,2,False,agent1@example.com,Agent,False
82,27,8,14,27,2,True,agent1@example.com,Agent,True
47,28,0,7,4,1,False,agent1@example.com,Agent,False
28,29,9,13,12,0,True,agent1@example.com,Agent,False
119,25,2,15,16,2,False,agent1@example.com,Agent,False
127,7,7,2,11,0,False,agent1@example.com,Agent,True
65,22,7,6,3,2,False,agent1@example.com,Agent,False
114,6,10,7,10,0,False,agent1@example.com,Agent,False
66,28,7,8,12,0,False,agent1@example.com,Agent,False
117,21,4,14,4,2,False,agent1@example.com,Agent,False
120,10,8,6,12,0,True,agent1@example.com,Agent,False
54,19,9,13,15,0,False,agent1@example.com,Agent,False
20,28,5,11,15,1,False,agent1@example.com,Agent,False
22,7,10,12,14,1,False,agent1@example.com,Agent,False
35,5,2,15,16,0,False,agent1@example.com,Agent,False
97,16,5,8,20,0,False,agent2@example.com,Agent,False
62,16,7,14,4,2,False,agent2@example.com,Agent,False
55,25,4,5,5,0,False,agent2@example.com,Agent,False
64,22,1,6,10,2,False,agent2@example.com,Agent,False
51,27,7,5,5,0,False,agent2@example.com,Agent,False
106,19,1,14,12,2,False,agent2@example.com,Agent,False
220,14,4,15,7,2,False,agent2@example.com,Agent,True
108,49,2,5,17,2,True,agent2@example.com,Agent,True
54,36,17,10,33,1,True,agent2@example.com,Agent,True
81,16,2,15,19,2,False,agent2@example.com,Agent,False
31,18,8,15,3,0,False,agent2@example.com,Agent,False
35,15,3,7,18,1,False,agent2@example.com,Agent,False
96,22,4,4,11,2,False,agent2@example.com,Agent,False
36,23,9,4,7,2,False,agent2@example.com,Agent,False
58,23,0,15,2,0,True,agent2@example.com,Agent,False
88,13,10,5,20,1,False,agent2@example.com,Agent,False
95,31,4,12,21,1,True,agent2@example.com,Agent,True
76,25,7,8,17,4,False,agent2@example.com,Agent,True
66,9,5,10,19,0,False,agent2@example.com,Agent,False
49,19,3,4,5,0,False,agent2@example.com,Agent,False
93,18,3,15,7,1,False,agent2@example.com,Agent,False
39,29,2,9,18,1,False,agent2@example.com,Agent,False
17,7,6,10,16,0,False,agent2@example.com,Agent,False
21,14,7,11,17,1,False,agent2@example.com,Agent,False
70,9,4,13,13,1,False,agent2@example.com,Agent,False
87,22,3,7,19,1,True,agent2@example.com,Agent,False
112,22,4,15,5,0,False,agent2@example.com,Agent,False
116,15,8,7,6,0,False,agent2@example.com,Agent,False
20,6,0,4,12,1,False,agent2@example.com,Agent,False
172,23,5,11,12,3,True,agent2@example.com,Agent,True
77,27,9,6,17,0,False,agent2@example.com,Agent,False
68,23,4,14,2,2,False,agent2@example.com,Agent,False
115,29,9,11,9,2,True,agent2@example.com,Agent,False
82,25,9,14,14,0,False,agent2@example.com,Agent,False
88,27,1,5,2,1,False,agent2@example.com,Agent,False
259,11,6,10,17,2,True,agent2@example.com,Agent,True
99,20,8,8,12,0,False,agent2@example.com,Agent,False
84,16,10,14,10,2,False,agent2@example.com,Agent,False
50,22,4,5,11,1,False,agent2@example.com,Agent,False
77,15,7,7,19,2,False,agent2@example.com,Agent,False
101,22,6,8,13,3,True,agent2@example.com,Agent,True
47,28,7,5,8,2,False,agent2@example.com,Agent,False
49,9,1,11,20,0,False,agent2@example.com,Agent,False
82,12,10,5,3,0,False,agent2@example.com,Agent,False
27,26,2,2,19,0,False,agent2@example.com,Agent,False
75,20,10,5,11,1,False,agent2@example.com,Agent,False
113,27,21,11,19,2,False,agent2@example.com,Agent,True
148,38,7,4,11,3,True,agent2@example.com,Agent,True
84,21,7,4,18,1,False,agent2@example.com,Agent,False
57,10,7,12,10,2,False,agent2@example.com,Agent,False
116,14,9,12,8,0,False,agent3@example.com,Agent,False
66,18,8,7,4,1,False,agent3@example.com,Agent,False
32,29,5,5,10,1,True,agent3@example.com,Agent,True
107,23,0,6,13,2,False,agent3@example.com,Agent,False
74,14,2,8,18,2,False,agent3@example.com,Agent,False
96,14,5,11,9,0,False,agent3@example.com,Agent,False
73,28,9,7,15,2,False,agent3@example.com,Agent,False
83,30,10,15,8,0,False,agent3@example.com,Agent,False
115,7,8,9,18,2,False,agent3@example.com,Agent,False
29,6,8,10,8,2,False,agent3@example.com,Agent,False
81,50,13,12,28,2,True,agent3@example.com,Agent,True
68,19,9,2,19,4,True,agent3@example.com,Agent,True
110,11,9,3,3,1,False,agent3@example.com,Agent,False
194,7,7,2,11,1,False,agent3@example.com,Agent,True
68,16,6,9,14,1,True,agent3@example.com,Agent,False
84,9,10,15,13,0,False,agent3@example.com,Agent,False
82,9,3,15,2,0,False,agent3@example.com,Agent,False
107,22,6,10,14,0,False,agent3@example.com,Agent,False
50,11,1,2,15,2,False,agent3@example.com,Agent,False
17,12,3,3,5,2,True,agent3@example.com,Agent,False
105,6,3,13,3,1,False,agent3@example.com,Agent,False
111,29,0,4,18,1,False,agent3@example.com,Agent,False
88,15,9,11,12,0,False,agent3@example.com,Agent,False
191,31,3,8,11,5,True,agent3@example.com,Agent,True
59,32,10,8,25,1,True,agent3@example.com,Agent,True
111,22,7,5,9,1,False,agent3@example.com,Agent,False
74,14,8,8,22,2,True,agent3@example.com,Agent,True
97,7,7,15,13,0,False,agent3@example.com,Agent,False
21,13,6,12,3,0,False,agent3@example.com,Agent,False
107,26,8,5,17,0,False,agent3@example.com,Agent,False
16,11,3,13,5,2,False,agent3@example.com,Agent,False
46,27,9,13,8,1,False,agent3@example.com,Agent,False
114,14,6,9,19,2,False,agent3@example.com,Agent,False
80,20,7,3,17,1,False,agent3@example.com,Agent,False
67,6,9,15,9,2,False,agent3@example.com,Agent,False
89,23,6,6,6,0,False,agent3@example.com,Agent,False
46,20,8,12,12,1,False,agent3@example.com,Agent,False
107,25,7,9,7,2,False,agent3@example.com,Agent,False
154,29,7,4,19,3,False,agent3@example.com,Agent,True
95,12,1,13,6,0,False,agent3@example.com,Agent,False
22,24,10,12,17,2,False,agent3@example.com,Agent,False
85,18,0,2,18,5,False,agent3@example.com,Agent,True
70,30,2,3,5,2,False,agent3@example.com,Agent,False
82,25,5,6,20,0,True,agent3@example.com,Agent,True
43,14,10,15,4,2,False,agent3@example.com,Agent,False
19,7,6,8,14,2,False,agent3@example.com,Agent,False
104,10,1,9,15,2,False,agent3@example.com,Agent,False
27,21,0,5,8,2,False,agent3@example.com,Agent,False
20,7,10,6,19,2,False,agent3@example.com,Agent,False
55,29,10,11,23,2,True,agent3@example.com,Agent,True
119,44,6,3,29,2,False,institution1@example.com,Institution,False
40,42,12,2,6,0,False,institution1@example.com,Institution,False
107,48,13,4,24,1,False,institution1@example.com,Institution,False
89,38,8,1,16,2,False,institution1@example.com,Institution,False
117,15,13,4,14,0,False,institution1@example.com,Institution,False
59,34,12,5,9,5,True,institution1@example.com,Institution,True
133,33,13,2,8,0,True,institution1@example.com,Institution,False
124,16,1,0,16,2,True,institution1@example.com,Institution,False
103,34,1,2,18,1,False,institution1@example.com,Institution,False
82,46,9,1,26,1,False,institution1@example.com,Institution,False
88,41,3,0,10,1,False,institution1@example.com,Institution,False
39,33,5,1,28,2,False,institution1@example.com,Institution,False
137,16,3,2,5,1,False,institution1@example.com,Institution,False
104,38,6,3,25,2,False,institution1@example.com,Institution,False
71,40,6,1,17,1,False,institution1@example.com,Institution,False
145,46,13,1,15,1,False,institution1@example.com,Institution,False
113,17,15,4,11,2,False,institution1@example.com,Institution,False
26,67,27,1,34,1,True,institution1@example.com,Institution,True
84,19,12,3,30,1,True,institution1@example.com,Institution,False
142,47,7,4,21,2,False,institution1@example.com,Institution,False
112,44,10,5,7,4,False,institution1@example.com,Institution,True
277,31,13,3,8,0,False,institution1@example.com,Institution,True
76,38,6,3,19,2,False,institution1@example.com,Institution,False
108,11,8,0,14,1,False,institution1@example.com,Institution,False
56,32,5,2,19,6,True,institution1@example.com,Institution,True
135,30,2,2,6,2,False,institution1@example.com,Institution,False
47,20,15,5,12,2,False,institution1@example.com,Institution,False
129,50,4,3,28,0,True,institution1@example.com,Institution,True
70,38,10,3,17,0,False,institution1@example.com,Institution,False
36,46,2,4,10,1,False,institution1@example.com,Institution,False
87,41,9,5,15,2,False,institution1@example.com,Institution,False
49,32,6,3,24,0,False,institution1@example.com,Institution,False
96,49,10,0,26,0,False,institution1@example.com,Institution,False
49,21,6,5,9,2,False,institution1@example.com,Institution,False
118,37,3,3,25,2,False,institution1@example.com,Institution,False
64,45,3,3,14,0,False,institution1@example.com,Institution,False
33,32,1,3,9,0,False,institution1@example.com,Institution,False
149,41,7,5,20,1,False,institution1@example.com,Institution,False
62,15,10,0,30,0,False,institution1@example.com,Institution,False
93,20,13,3,23,2,False,institution1@example.com,Institution,False
150,17,10,0,13,2,False,institution1@example.com,Institution,False
30,38,9,1,18,0,False,institution1@example.com,Institution,False
83,29,14,0,19,1,False,institution1@example.com,Institution,False
132,17,13,1,11,2,False,institution1@example.com,Institution,False
129,20,10,1,30,0,False,institution1@example.com,Institution,False
109,44,5,4,22,0,False,institution1@example.com,Institution,False
94,46,5,4,26,0,False,institution1@example.com,Institution,False
125,13,5,5,9,2,False,institution1@example.com,Institution,False
102,25,13,5,17,1,False,institution1@example.com,Institution,False
126,34,8,0,25,0,False,institution1@example.com,Institution,False
114,39,8,2,23,0,False,institution2@example.com,Institution,False
43,39,11,5,27,1,False,institution2@example.com,Institution,False
121,23,7,1,20,1,False,institution2@example.com,Institution,False
53,46,14,3,30,1,False,institution2@example.com,Institution,False
31,16,11,3,5,0,False,institution2@example.com,Institution,False
136,10,7,1,27,4,False,institution2@example.com,Institution,True
43,33,5,0,16,2,False,institution2@example.com,Institution,False
121,68,10,5,38,0,True,institution2@example.com,Institution,True
77,71,18,3,20,0,True,institution2@example.com,Institution,True
46,16,6,2,14,0,False,institution2@example.com,Institution,False
54,19,2,4,23,0,False,institution2@example.com,Institution,False
109,31,11,5,13,1,True,institution2@example.com,Institution,True
55,17,10,5,17,1,False,institution2@example.com,Institution,False
55,25,5,5,7,0,False,institution2@example.com,Institution,False
92,11,14,5,14,0,False,institution2@example.com,Institution,False
120,28,11,0,30,0,False,institution2@example.com,Institution,False
147,50,10,0,21,4,True,institution2@example.com,Institution,True
127,33,9,5,10,1,False,institution2@example.com,Institution,False
24,47,2,0,13,0,True,institution2@example.com,Institution,False
121,53,5,5,31,2,True,institution2@example.com,Institution,True
59,27,2,2,7,2,False,institution2@example.com,Institution,False
59,44,6,3,23,2,False,institution2@example.com,Institution,False
36,29,12,3,28,0,True,institution2@example.com,Institution,False
236,17,8,4,24,0,True,institution2@example.com,Institution,True
22,20,8,2,21,6,True,institution2@example.com,Institution,True
88,17,13,0,15,1,False,institution2@example.com,Institution,False
94,57,8,4,16,2,True,institution2@example.com,Institution,True
49,46,17,4,20,0,True,institution2@example.com,Institution,True
65,12,9,5,28,2,False,institution2@example.com,Institution,False
126,30,5,0,23,1,False,institution2@example.com,Institution,False
33,21,4,4,6,1,True,institution2@example.com,Institution,False
92,29,6,0,22,1,True,institution2@example.com,Institution,False
97,49,4,3,16,2,False,institution2@example.com,Institution,False
70,44,13,1,9,0,False,institution2@example.com,Institution,False
108,59,14,5,9,1,True,institution2@example.com,Institution,True
80,36,8,0,9,2,False,institution2@example.com,Institution,False
79,76,13,5,32,1,True,institution2@example.com,Institution,True
39,47,10,0,18,2,False,institution2@example.com,Institution,False
86,30,15,3,27,2,False,institution2@example.com,Institution,False
79,14,4,1,29,2,False,institution2@example.com,Institution,False
282,39,6,3,8,2,False,institution2@example.com,Institution,True
50,15,3,5,14,2,False,institution2@example.com,Institution,False
103,43,11,5,22,1,True,institution2@example.com,Institution,True
135,45,12,4,12,0,False,institution2@example.com,Institution,False
55,17,1,0,29,0,False,institution2@example.com,Institution,False
115,50,11,0,23,2,False,institution2@example.com,Institution,False
25,14,4,5,19,0,True,institution2@example.com,Institution,False
104,17,1,3,6,0,False,institution2@example.com,Institution,False
121,41,1,3,26,1,False,institution2@example.com,Institution,False
67,27,5,3,9,0,False,institution2@example.com,Institution,False
95,41,7,4,20,0,True,institution3@example.com,Institution,False
127,22,11,4,12,2,False,institution3@example.com,Institution,False
24,34,13,5,16,1,False,institution3@example.com,Institution,False
148,30,7,2,10,0,False,institution3@example.com,Institution,False
91,13,13,3,21,1,False,institution3@example.com,Institution,False
60,16,4,5,12,1,False,institution3@example.com,Institution,False
34,24,10,3,16,0,False,institution3@example.com,Institution,False
111,47,1,5,27,1,False,institution3@example.com,Institution,False
68,41,9,2,10,1,True,institution3@example.com,Institution,False
182,11,9,3,5,1,False,institution3@example.com,Institution,True
102,44,11,1,32,2,True,institution3@example.com,Institution,True
121,47,2,2,14,1,False,institution3@example.com,Institution,False
220,66,8,5,15,2,True,institution3@example.com,Institution,True
116,29,12,5,14,0,False,institution3@example.com,Institution,False
179,54,1,1,24,5,True,institution3@example.com,Institution,True
80,32,6,1,25,0,False,institution3@example.com,Institution,False
105,38,1,2,11,0,False,institution3@example.com,Institution,False
47,10,1,3,19,2,False,institution3@example.com,Institution,False
125,55,15,3,22,2,True,institution3@example.com,Institution,True
38,37,12,0,29,1,True,institution3@example.com,Institution,True
210,31,10,4,20,2,False,institution3@example.com,Institution,True
106,45,4,1,18,5,True,institution3@example.com,Institution,True
220,30,1,2,5,2,True,institution3@example.com,Institution,True
94,15,8,0,14,4,False,institution3@example.com,Institution,True
114,34,6,1,19,0,False,institution3@example.com,Institution,False
77,27,10,0,9,2,False,institution3@example.com,Institution,False
108,57,7,4,21,2,True,institution3@example.com,Institution,True
141,46,15,1,20,1,True,institution3@example.com,Institution,False
28,42,10,4,30,2,False,institution3@example.com,Institution,False
50,38,3,1,11,0,False,institution3@example.com,Institution,False
131,22,14,5,9,2,False,institution3@example.com,Institution,False
37,15,7,4,17,2,False,institution3@example.com,Institution,False
137,10,13,5,24,2,False,institution3@example.com,Institution,False
126,19,3,4,23,2,False,institution3@example.com,Institution,False
47,46,13,0,30,1,False,institution3@example.com,Institution,False
125,26,7,5,20,2,False,institution3@example.com,Institution,False
90,62,13,4,43,2,True,institution3@example.com,Institution,True
88,33,1,2,30,1,False,institution3@example.com,Institution,False
45,24,3,2,28,1,False,institution3@example.com,Institution,False
126,48,11,0,11,1,False,institution3@example.com,Institution,False
144,43,14,2,6,2,False,institution3@example.com,Institution,False
246,35,3,4,23,0,True,institution3@example.com,Institution,True
112,22,5,2,19,2,False,institution3@example.com,Institution,False
27,25,6,3,24,1,False,institution3@example.com,Institution,False
109,32,3,2,28,2,True,institution3@example.com,Institution,False
208,20,14,4,29,0,True,institution3@example.com,Institution,True
25,10,8,1,25,0,False,institution3@example.com,Institution,False
84,59,13,2,35,2,True,institution3@example.com,Institution,True
75,39,5,5,21,2,False,institution3@example.com,Institution,False
150,63,15,5,37,2,False,institution3@example.com,Institution,True
22,3,2,2,1,0,False,student4@example.com,Student,False
8,5,1,2,1,0,False,student4@example.com,Student,False
21,4,1,3,0,0,False,student4@example.com,Student,False
39,4,2,2,2,0,False,student4@example.com,Student,False
16,3,0,3,1,1,False,student4@example.com,Student,False
16,3,2,0,1,1,False,student4@example.com,Student,False
31,3,1,2,2,1,False,student4@example.com,Student,False
45,5,2,0,3,0,False,student4@example.com,Student,False
29,5,1,3,0,0,False,student4@example.com,Student,False
31,5,1,1,2,0,False,student4@example.com,Student,False
45,2,1,0,0,1,False,student4@example.com,Student,False
15,5,0,3,0,0,False,student4@example.com,Student,False
30,4,1,3,0,0,False,student4@example.com,Student,False
5,3,2,1,0,0,False,student4@example.com,Student,False
27,3,0,0,3,1,False,student4@example.com,Student,False
24,3,1,2,3,0,False,student4@example.com,Student,False
27,2,0,3,0,0,False,student4@example.com,Student,False
18,1,2,1,0,1,False,student4@example.com,Student,False
29,3,2,0,0,0,False,student4@example.com,Student,False
128,4,1,3,0,1,False,student4@example.com,Student,True
24,4,2,0,2,0,False,student4@example.com,Student,False
37,5,0,2,0,0,False,student4@example.com,Student,False
21,5,0,2,3,1,False,student4@example.com,Student,False
18,4,1,1,0,0,False,student4@example.com,Student,False
41,4,0,0,0,0,False,student4@example.com,Student,False
34,3,1,3,0,0,False,student4@example.com,Student,False
23,3,2,2,3,0,True,student4@example.com,Student,False
7,1,0,1,2,1,False,student4@example.com,Student,False
22,1,1,2,1,0,False,student4@example.com,Student,False
22,4,2,3,3,0,False,student4@example.com,Student,False
8,2,0,3,3,1,False,student4@example.com,Student,False
27,5,0,1,3,1,False,student4@example.com,Student,False
7,1,1,2,0,0,False,student4@example.com,Student,False
26,5,2,0,3,0,False,student4@example.com,Student,False
29,2,2,0,0,0,False,student4@example.com,Student,False
36,2,0,3,2,0,False,student4@example.com,Student,False
37,2,2,3,3,0,True,student4@example.com,Student,False
41,4,0,3,3,1,False,student4@example.com,Student,False
6,1,1,3,0,0,False,student4@example.com,Student,False
44,3,2,1,3,1,False,student4@example.com,Student,False
109,4,1,3,2,1,False,student4@example.com,Student,True
23,5,2,2,0,0,False,student4@example.com,Student,False
31,1,1,1,1,0,False,student4@example.com,Student,False
34,2,2,2,0,1,True,student4@example.com,Student,False
42,1,1,3,1,1,True,student4@example.com,Student,False
40,4,2,3,1,0,False,student4@example.com,Student,False
154,5,2,2,3,1,False,student4@example.com,Student,True
23,4,0,1,3,1,False,student4@example.com,Student,False
25,5,2,1,1,0,False,student4@example.com,Student,False
27,2,2,1,2,0,False,student4@example.com,Student,False
